name,abn,total_income,taxable_income,tax_payable,income_year,postcode
CONSORTIO PTY LIMITED,99128575619,306991790,2855871.0,856761.0,2021-22,2000
CONSTELLATION SOFTWARE AUSTRALIA PTY LTD,50141627232,396891943,92145515.0,26918398.0,2021-22,4101
CONSTRUCTION CONTROL PTY LIMITED,79150745154,340714965,12215595.0,3664678.0,2021-22,2612
CONSTRUCTION SERVICES AUSTRALIA PTY LTD,99007641787,209719346,,,2021-22,5069
CONTINENTAL PTY LTD,46004390587,462932845,24400157.0,7320047.0,2021-22,3083
CONTRACT RESOURCES GROUP PTY LTD,77637730511,143794322,13851573.0,4153960.0,2021-22,2000
COOGEE CHEMICALS PTY LTD,37008747500,287787344,36293810.0,5927430.0,2021-22,6167
COOK AUSTRALIA PTY LTD,27141258648,253911372,24417615.0,6382076.0,2021-22,4113
COOPER ENERGY LIMITED,93096170295,206181640,,,2021-22,5000
CO-OPERATIEVE RABOBANK U.A.,70003917655,918747785,117138922.0,35141677.0,2021-22,2000
COOPERS BREWERY LIMITED,13007871409,273931078,24677701.0,7369009.0,2021-22,5010
COPYRIGHT AGENCY LIMITED,53001228799,127427549,,,2021-22,2000
CORAL HOLDINGS AUSTRALIA PTY LTD,48126887750,121921615,,,2021-22,3000
CORANAR (AUSTRALIA) PTY LTD,12114668727,226260693,103987867.0,31196360.0,2021-22,4000
CORELOGIC AUSTRALIA HOLDINGS PTY LIMITED,75150637406,176260369,45630051.0,12715551.0,2021-22,2000
CORINELLA FARMS PTY LTD,25606876653,182272992,203626523.0,61087957.0,2021-22,2000
CORONADO AUSTRALIA HOLDINGS PTY LTD,23623524989,1771059024,,,2021-22,4000
CORONIS HEALTH HOLDCO PTY LTD,53617868916,210854168,1273645.0,382094.0,2021-22,2067
CORPORATE TRAVEL MANAGEMENT LIMITED,17131207611,117251921,,,2021-22,4000
CORTEVA AGRISCIENCE AUSTRALIA PTY LTD,24003771659,197602910,9651335.0,2895400.0,2021-22,2067
COSTA GROUP HOLDINGS LIMITED,68151363129,1020126359,20397898.0,759369.0,2021-22,3008
COSTCO WHOLESALE AUSTRALIA PTY LTD,57104012893,3674080651,82431186.0,24729356.0,2021-22,2141
COTY AUSTRALIA HOLDINGS PTY LTD,52626169711,199206979,4122717.0,1236815.0,2021-22,2000
COUNT FINANCIAL LIMITED,19001974625,100112400,2586237.0,775871.0,2021-22,2000
COUNTRY GARDEN AUSTRALIA PTY LTD,45165045125,155600582,,,2021-22,2000
COUNTRY ROAD GROUP PTY LTD,78006759182,1030050038,88210028.0,25917608.0,2021-22,3121
COUNTRYWIDE AUSTRALASIA LIMITED,34068162676,393070389,,,2021-22,2150
COVENTRY GROUP LTD,37008670102,296115326,,,2021-22,3074
COX AUTOMOTIVE AUSTRALIA PTY LTD,97090535505,161727134,,,2021-22,3025
CPA AUSTRALIA LTD,64008392452,179086708,,,2021-22,3006
CPC GROUP HOLDINGS PTY LTD,28644449758,427026093,1113319.0,333996.0,2021-22,4030
CR AUSTRALIA HOLDING PTY LTD,52627005609,174847311,21323181.0,2735192.0,2021-22,4172
CRAIG MOSTYN HOLDINGS PTY LIMITED,14008398356,300777495,18179655.0,3495309.0,2021-22,6160
CRANPORT PTY LIMITED,77003854000,329093282,4840729.0,1045619.0,2021-22,2000
CRAWFORD & COMPANY (AUSTRALIA) PTY LTD,11002317133,145440092,286770.0,85406.0,2021-22,3006
CREDIT AGRICOLE CIB AUSTRALIA LIMITED,32002540409,114620000,62911268.0,18873380.0,2021-22,2000
CREDIT CORP GROUP LIMITED,33092697151,307574671,96923362.0,28487188.0,2021-22,2000
CREDIT SUISSE AG,17061700712,355291921,111282524.0,33384757.0,2021-22,2000
CREDIT SUISSE HOLDINGS (AUSTRALIA) LTD,96008496713,458065739,52769435.0,15280184.0,2021-22,2000
CREDIT UNION AUSTRALIA LIMITED,44087650959,541992810,214187890.0,54615428.0,2021-22,4000
CREMA CONSTRUCTIONS PTY LTD,70137733290,249485346,646802.0,194041.0,2021-22,3207
CRESCO CAPITAL PTY LTD,19162834540,320348282,,,2021-22,3053
CROWN EQUIPMENT PTY LIMITED,79000514858,371554689,17095764.0,5128729.0,2021-22,2164
CROWN RESORTS LIMITED,39125709953,2251367731,,,2021-22,3006
CRRC CHANGCHUN AUSTRALIA RAIL PTY LIMITED,52615414072,278141078,,,2021-22,3000
CS (AUSTRALIA) PTY LIMITED,84093488361,687796511,,,2021-22,3000
CSC STEEL AUSTRALIA HOLDINGS PTY LTD,27123783282,179788367,175937775.0,,2021-22,4000
CSE GLOBAL (AUSTRALIA) PTY LTD,85109958090,128475563,7579240.0,2273772.0,2021-22,6005
CSG INTERNATIONAL PTY LTD,33082026551,143965609,217732.0,,2021-22,3067
CSL LIMITED,99051588348,3556054095,88265129.0,,2021-22,3000
CSR LIMITED,90000001276,1773974557,164174950.0,41979344.0,2021-22,2113
CT FREIGHT PTY. LTD.,89002489705,265605630,21429042.0,6428713.0,2021-22,2015
CTC PRECAST PTY LTD,12614966059,216208339,2741839.0,822552.0,2021-22,3630
CTI LOGISTICS LIMITED,69008778925,284629713,17494545.0,5247418.0,2021-22,6005
CUBIC TRANSPORTATION SYSTEMS (AUSTRALIA) PTY LIMITED,82003617561,158201226,24883796.0,,2021-22,2000
CUMMINS FILTRATION INTERNATIONAL CORPORATION,60007505473,126985155,8988974.0,2696692.0,2021-22,3137
CUMMINS SOUTH PACIFIC PTY LTD,42006332949,1021779812,167573914.0,50272174.0,2021-22,3179
CUSCAL LIMITED,95087822455,247059634,41451078.0,2862732.0,2021-22,2000
CW GROUP HOLDINGS LIMITED,83635851839,3090833232,578471033.0,172796777.0,2021-22,3072
CWF HOLDINGS PTY LTD,66142083323,139302630,,,2021-22,6000
CX HOLDCO PTY LIMITED,92653475417,279709471,2246988.0,,2021-22,3000
CXC CORPORATE SERVICES PTY LTD,58150274007,527437326,,,2021-22,2100
D & C CORPORATION PTY LTD,37159824736,115493715,196602.0,58981.0,2021-22,6000
D & E AIR CONDITIONING PTY LIMITED,24158631979,239960487,5507014.0,1652104.0,2021-22,3178
D & M LYONE HOLDINGS PTY LTD,45102456851,316811613,74900229.0,22386257.0,2021-22,2141
D.E HOLDING AUSTRALIA PTY LTD,16100632595,354483621,68313958.0,20494187.0,2021-22,2060
DAC FINANCE PTY LIMITED,28129420444,783546423,5890429.0,1767129.0,2021-22,2000
DACIAN GOLD LIMITED,61154262978,223714108,,,2021-22,6000
DAHENA PTY LTD,34003081061,204745073,2280588.0,684176.0,2021-22,2153
DAHLSENS BUILDING CENTRES PTY LTD,30005032333,303526076,7468388.0,2240516.0,2021-22,3168
DAHUA GROUP MELBOURNE INVESTMENT PTY LTD,16604279736,167174591,994895.0,298468.0,2021-22,3000
DAHUA GROUP SYDNEY INVESTMENT PTY LTD,22606376416,273649305,33111965.0,9933590.0,2021-22,2000
DAIKIN AUSTRALIA PTY LTD,62000172967,1084568865,57079246.0,15753222.0,2021-22,2170
DAIMLER AUSTRALIA/PACIFIC PTY LTD,50004348421,4161599241,281121674.0,84336502.0,2021-22,3170
DAIRY FARMERS PTY LTD,65010308068,224621638,,,2021-22,2550
DAIWA HOUSE AUSTRALIA PTY LTD,90169473241,279076380,,,2021-22,2060
DALRYMPLE BAY COAL TERMINAL PTY LTD,12010268167,269391797,26134199.0,7840260.0,2021-22,4740
DALRYMPLE BAY INFRASTRUCTURE LIMITED,76643302032,454139035,,,2021-22,4000
DAMPIER SALT LTD,30008706590,454687866,20368928.0,6110678.0,2021-22,6000
DANAHER AUSTRALIA HOLDING PTY LTD,80122016424,625626360,75417405.0,16424055.0,2021-22,2000
DAN-BUNKERING (AUSTRALIA) PTY LTD,26123643952,153603386,,,2021-22,2000
DANDENONG MITS PTY LTD,34149410024,266644647,17378709.0,5213613.0,2021-22,3175
DARACON CONTRACTORS PTY LTD,82002344667,287386386,2166285.0,649886.0,2021-22,2322
DARWIN LNG PTY LTD,48085130981,2801101805,144159203.0,43247761.0,2021-22,5000
DATA#3 LIMITED,31010545267,2193340054,42399903.0,12719971.0,2021-22,4066
DATACOM AUSTRALIA HOLDINGS PTY LIMITED,45094235373,646186319,5239269.0,1571781.0,2021-22,2060
DAVIS LANGDON PROPERTY SERVICES PTY LTD,97006986947,802727568,95565640.0,26000002.0,2021-22,4006
DBG (AUSTRALIA) PTY LIMITED,79010693713,100308888,4071535.0,1221460.0,2021-22,2010
DBS BANK LTD,46601105373,169204732,101122920.0,30336876.0,2021-22,2000
DDH1 LIMITED,48636677088,405733712,,,2021-22,6155
DECMIL GROUP LIMITED,35111210390,377627458,,,2021-22,6017
DEFENCE HOUSING AUSTRALIA,72968504934,901806376,115713822.0,34714147.0,2021-22,2912
DEGREMONT PROCESS COMPANY PTY LTD,32169392876,166601090,105053.0,,2021-22,3149
DELAWARE NORTH COMPANIES AUSTRALIA PTY LTD,92003435345,328460045,,,2021-22,3008
DELIVEROO AUSTRALIA PTY LTD,73607915640,191297003,,,2021-22,3000
DELL AUSTRALIA PTY LTD,46003855561,418543496,129373062.0,38785630.0,2021-22,2067
DE'LONGHI AUSTRALIA PTY LIMITED,49104012857,201162600,6693920.0,2008176.0,2021-22,2170
DELTA AGRIBUSINESS PTY LTD,93118781445,784881299,57273859.0,17182158.0,2021-22,2594
DELTA ELECTRICITY PTY LTD,66620205263,585567744,,,2021-22,2000
DELTA GROUP HOLDINGS PTY LTD,37159149185,700553756,,,2021-22,3207
DEMANT AUSTRALIA PTY LTD,11636246305,209023227,9922434.0,2976730.0,2021-22,2113
DEMATIC HOLDINGS PTY LTD,50121488202,272762396,13292854.0,3772983.0,2021-22,2085
DENGKOL PTY LTD,82005518258,402807947,15511580.0,4653474.0,2021-22,3214
DENNIS FAMILY HOLDINGS PTY LTD,39097641855,372203662,578722.0,173617.0,2021-22,3143
DENTSPLY SIRONA PTY LIMITED,87111950602,161567621,5140875.0,1542262.0,2021-22,3149
DENTSU AUSTRALIA HOLDINGS PTY LTD,60147301700,263079860,,,2021-22,3121
DETERRA ROYALTIES LIMITED,88641743348,265379428,198480487.0,59544146.0,2021-22,6000
DETMOLD HOLDINGS PTY LTD,87007527022,369141518,5432990.0,,2021-22,5007
DEUTSCHE AUSTRALIA LIMITED,37006385593,277396469,3565863.0,1069759.0,2021-22,2000
DEUTSCHE BANK AKTIENGESELLSCHAFT,13064165162,562233171,,,2021-22,2000
DEVELOPER GROUP HOLDINGS PTY LTD,47166966114,305855429,,,2021-22,2612
DEXUS OPERATIONS TRUST,69645176383,496309334,148897048.0,44669114.0,2021-22,2000
DFA AUSTRALIA LIMITED,46065937671,122093287,30878379.0,9263514.0,2021-22,2000
DGL GROUP LIMITED,71002802646,362190816,29184287.0,8745807.0,2021-22,2526
DH BOX HILL PTY LTD,99625555553,183711673,,,2021-22,2060
DHL EXPRESS (AUSTRALIA) PTY LTD,62001112929,963234518,36147324.0,10844197.0,2021-22,2020
DHL GLOBAL FORWARDING (AUSTRALIA) PTY LIMITED,62002636124,1922972742,205276740.0,61583022.0,2021-22,3045
DIAGEO AUSTRALIA LIMITED,33004167720,709282156,69781261.0,20934378.0,2021-22,2000
DIALOG PTY LTD,16010089175,179373756,25319339.0,7595227.0,2021-22,4101
DIAMOND GAS RESOURCES PTY LTD,58007440664,669565785,42062855.0,,2021-22,6000
DIAMOND OFFSHORE GENERAL LLC,91050122051,220123178,1891859.0,567558.0,2021-22,6102
DIB GROUP PTY LIMITED,87002889474,2042666951,51540805.0,15462242.0,2021-22,2144
DIC AUSTRALIA PTY LTD,12000079550,100940227,,,2021-22,3189
DICKER DATA LIMITED,95000969362,2152880131,100210665.0,29886202.0,2021-22,2231
DIPLOMA AUSTRALIA HEALTHCARE PTY LTD,51145464660,125528843,11102303.0,3330691.0,2021-22,4170
DIRECT COURIERS GROUP PTY LTD,70637899051,206838206,27794251.0,8338275.0,2021-22,2019
DIRECT FREIGHT EXPRESS PTY LIMITED,66060136870,465944540,23943733.0,7183120.0,2021-22,2170
DIRECT GROUP INVESTMENTS PTY LTD,67602302205,216116106,3492700.0,897780.0,2021-22,2086
DISCOUNT TYRE AND WHEEL PTY LTD,31169153468,314135790,26488684.0,7946605.0,2021-22,3000
DISCOVERY PARKS HOLDINGS PTY LIMITED,61127847269,295877633,23998579.0,7199574.0,2021-22,5000
DITH AUSTRALIA PTY LTD,21620953166,400614997,21074629.0,6322389.0,2021-22,2000
DIVERGER LIMITED,48111695357,121850259,6786901.0,2036070.0,2021-22,2000
DKSH AUSTRALIA PTY LTD,70005059307,357868433,9379457.0,2813837.0,2021-22,2065
DNATA PTY LTD,35615994495,168172015,334693.0,100408.0,2021-22,2036
DOF SUBSEA AUSTRALIA PTY LTD,53083000239,130895887,,,2021-22,6000
DOMAIN HOLDINGS AUSTRALIA LIMITED,43094154364,302923204,60161245.0,11492381.0,2021-22,2009
DOMETIC AUSTRALIA PTY LTD,62086366305,212610386,7114561.0,2134368.0,2021-22,3169
DOMINO'S PIZZA ENTERPRISES LIMITED,16010489326,703262347,116513557.0,29352275.0,2021-22,4007
DONALDSON AUSTRALASIA PTY LTD,78000521200,133350263,15038315.0,4511494.0,2021-22,2259
DONEILYN PTY LTD,69007544836,314534383,9764656.0,2479397.0,2021-22,5063
DOORDASH TECHNOLOGIES AUSTRALIA PTY LTD,96634446030,159527604,,,2021-22,3000
DORMAKABA HOLDING AUSTRALIA PTY LTD,82005869447,302546815,27507258.0,8004948.0,2021-22,3803
DORRIEN ESTATE WINERY PTY LTD,81003775139,211429451,6417704.0,1925311.0,2021-22,2010
DORSOGNA LIMITED,27063427752,314179933,787202.0,236161.0,2021-22,6163
DOTERRA AUSTRALIA PTY LTD,26145700689,103205712,517757.0,155327.0,2021-22,3170
DOUBLEBAY TERRACE PTY LIMITED,83064257870,242607520,221726967.0,55507438.0,2021-22,2000
DOUGLAS AND MANN PTY LTD,74076987007,630448788,359970172.0,107991052.0,2021-22,2113
DOW CHEMICAL (AUSTRALIA) PTY LTD,72000264979,213350108,,,2021-22,3000
DOW PERFORMANCE MATERIALS (AUSTRALIA) PTY LTD,29004513188,150828538,36620.0,,2021-22,3000
DOWELL WINDOWS PTY LTD,78004069523,210925381,17259578.0,5177873.0,2021-22,4009
DOWFORD INVESTMENTS PTY LTD,17093388446,214739845,,,2021-22,6168
DOWNER EDI LIMITED,97003872848,8995829640,21167804.0,,2021-22,2113
DP WORLD AUSTRALIA (HOLDING) PTY LIMITED,58147892715,728953764,4555713.0,,2021-22,2000
DR. OETKER QUEEN AUSTRALIA PTY LTD,92606358516,107832082,18737690.0,5152298.0,2021-22,4051
DRA GLOBAL LIMITED,75622581935,645934831,,,2021-22,6000
DRAEGER AUSTRALIA PTY LTD,99098885539,131233612,8401473.0,2518907.0,2021-22,3168
DRAKE AUSTRALIA PTY LTD,42004939771,175330220,3280.0,,2021-22,3000
DRAMET PTY LTD,59109544425,287298204,15489627.0,4646888.0,2021-22,5031
DRYSDALE INVESTMENTS PTY LTD,86104614422,773377187,32314282.0,9091033.0,2021-22,3026
DSI HOLDINGS 2 AUSTRALIA PTY LTD,49151658785,202535056,21502208.0,5660139.0,2021-22,2324
DSM NUTRITIONAL PRODUCTS AUSTRALIA PTY LIMITED,36000991793,146225386,4809242.0,768661.0,2021-22,2650
DSV AIR & SEA PTY LTD,47002275676,546139662,2330291.0,699087.0,2021-22,3045
DTZ AUS HOLDCO PTY LTD,36602106936,496274043,1820926.0,546278.0,2021-22,2000
DTZ AUSTRALIA PTY LIMITED,84106515931,115426774,7754537.0,2326361.0,2021-22,2000
DUCALA PTY LTD,38008031874,259369905,10778773.0,2847918.0,2021-22,5086
DULUXGROUP LIMITED,42133404065,2034407118,220413515.0,61947198.0,2021-22,3168
DURATEC LIMITED,94141614075,314208399,7175335.0,1505654.0,2021-22,6065
DUSK GROUP LIMITED,38603018131,139989809,27070131.0,8121039.0,2021-22,2015
DXC TECHNOLOGY AUSTRALIA HOLDINGS PTY LIMITED,33120570390,2627113810,100465160.0,29246705.0,2021-22,2113
DYE & DURHAM HOLDINGS PTY LTD,87646897412,189597834,19796634.0,5913790.0,2021-22,2000
DYNAMIC SUPPLIES PTY LTD,25064793862,209644431,3927306.0,1178192.0,2021-22,4172
DYSON APPLIANCES (AUST.) PTY LIMITED,50073072509,542106342,23896058.0,7168817.0,2021-22,2000
E & S TRADING CO. (DISCOUNTS) PTY LTD,71007449265,259010450,12196619.0,3658986.0,2021-22,3174
E&P FINANCIAL GROUP LIMITED,54609913457,200203083,20283290.0,4579830.0,2021-22,2000
E.B. MAWSON & SONS PTY. LTD.,14004519617,221301669,5726425.0,1717928.0,2021-22,3568
EAGERS AUTOMOTIVE LIMITED,87009680013,7324732731,314293619.0,82516878.0,2021-22,4006
EASTCOAST AUTOMOTIVE (QLD) PTY LTD,93162382050,261480609,11776143.0,3532843.0,2021-22,4127
EATON INDSUTRIES PTY LTD,66103014571,313344436,15519314.0,4655794.0,2021-22,3178
ECHO HOLDCO PTY LIMITED,50645699261,203739577,12188667.0,3656600.0,2021-22,2113
ECLIPX GROUP LIMITED,85131557901,357512728,,,2021-22,3121
ECOM COMMODITIES PTY LTD,65089892713,209122015,,,2021-22,2040
EDUCATION AUSTRALIA LIMITED,63008597831,496801211,3125094357.0,937528307.0,2021-22,2000
EFN (AUSTRALIA) PTY LIMITED,90607344650,330408255,,,2021-22,2000
EG GROUP AUSTRALIA PTY LTD,39629792810,3681568659,59319967.0,17795990.0,2021-22,2060
EGO PHARMACEUTICALS HOLDINGS PTY LTD,34613741352,222078655,14584486.0,3184773.0,2021-22,3175
EINHELL HOLDING AUSTRALIA PTY LTD,12163099885,245018536,29843571.0,8953071.0,2021-22,3175
ELANCO AUSTRALIA HOLDING PTY LIMITED,24628673754,196146633,18753221.0,523286.0,2021-22,2113
ELDERS INSURANCE UNDERWRITING AGENCY PTY LIMITED,56138879026,212299061,65107099.0,19532130.0,2021-22,2000
ELDERS LIMITED,34004336636,3470721561,26744957.0,,2021-22,5000
ELECNOR AUSTRALIA PTY LTD,90164831930,313749362,14970389.0,4491117.0,2021-22,2060
ELECTRA CABLES (AUST) PTY LIMITED,38056024385,372863455,27834366.0,8350309.0,2021-22,2164
ELECTRANET PTY LIMITED,41094482416,427331323,50042791.0,15012837.0,2021-22,5000
ELECTRO OPTIC SYSTEMS HOLDINGS LTD,95092708364,212548624,8492804.0,2428339.0,2021-22,2609
ELECTROLUX HOME PRODUCTS PTY LIMITED,51004762341,928657676,136808456.0,39953361.0,2021-22,2020
ELECTRONICS BOUTIQUE AUSTRALIA PTY LTD,50077681442,766826873,25055351.0,7516605.0,2021-22,4009
ELECTUS DISTRIBUTION PTY LIMITED,30000087347,220915392,4748776.0,1382719.0,2021-22,2116
ELI LILLY AUSTRALIA PTY LIMITED,39000233992,215395806,24202600.0,824871.0,2021-22,2000
EMC AUSTRALIA PTY LIMITED,34143603123,442237430,24542463.0,7358839.0,2021-22,2067
EMECO HOLDINGS LIMITED,89112188815,864383112,,,2021-22,6017
EMERALD GRAIN PTY LTD,82109203054,1108114821,62902604.0,18870781.0,2021-22,3067
EMERGING ENERGY SOLUTIONS GROUP PTYLTD,34152953412,920607012,,,2021-22,3037
EMERSON PROCESS MANAGEMENT AUSTRALIA PTY LTD,99004590005,215060830,19326118.0,5790863.0,2021-22,3153
EMICHROME PTY LTD,31002668028,291689508,397523532.0,139653.0,2021-22,2035
EMIRATES LEISURE RETAIL (AUSTRALIA) PTY LTD,76131473679,297403920,,,2021-22,3000
EMPLOYERS MUTUAL MANAGEMENT PTY LTD,11001735191,385070206,1419786.0,425936.0,2021-22,2000
EMPLOYERS MUTUAL NSW LIMITED,52003201885,263213467,,,2021-22,2000
EMPLOYSURE PTY LIMITED,40145676026,170738953,37949937.0,11384981.0,2021-22,2000
ENAEX AUSTRALIA PTY LTD,97009687487,137730133,5789643.0,1736893.0,2021-22,4000
ENAK HOLDINGS PTY LTD,94151868772,808873423,12402456.0,3329296.0,2021-22,3121
ENDEAVOUR ENERGY NETWORK MANAGEMENT PTY LTD,22617221495,296634468,,,2021-22,2150
ENDEAVOUR GROUP LIMITED,77159767843,6462897056,601352958.0,116120173.0,2021-22,2010
ENDEAVOUR WOOL EXPORTS PTY LTD,28621014293,316025380,2243996.0,673199.0,2021-22,3122
ENDEMOL SHINE AUSTRALIA HOLDINGS PTY LTD,94134845364,223602144,,,2021-22,2060
ENERGIZER AUSTRALIA PTY LIMITED,91003539026,147844282,11607539.0,3449257.0,2021-22,2127
ENERGY INFRASTRUCTURE TRUST,23779151748,211730872,71751520.0,17957882.0,2021-22,3000
ENERGY POWER SYSTEMS AUSTRALIA PTY LTD,80055274514,223927213,7820522.0,2346157.0,2021-22,3170
ENERGY RESOURCES OF AUSTRALIA LTD,71008550865,213506100,,,2021-22,0800
ENERGYAUSTRALIA HOLDINGS LIMITED,57101876135,5551951321,,,2021-22,3008
ENERMECH PTY LTD,32136435062,134010713,,,2021-22,6166
ENERSYS AUSTRALIA PTY LTD,52103740290,115103074,1241727.0,372518.0,2021-22,2147
ENERVEN ENERGY INFRASTRUCTURE PTY LTD,31621124909,200743513,6333869.0,1900161.0,2021-22,5007
ENGENCO LIMITED,99120432144,191523492,,,2021-22,3000
ENGIE SERVICES HOLDINGS PTY LTD,18615894794,210498848,,,2021-22,3078
ENI AUSTRALIA B.V.,18092812023,175906573,,,2021-22,6000
ENSCO AUSTRALIA PTY LTD,79100601634,116356314,822950.0,246885.0,2021-22,6000
ENSHAM COAL SALES PTY LTD,13050411713,680188215,,,2021-22,4000
ENSIGN (AUSTRALIA) HOLDINGS PTY LTD,71100195426,105774145,,,2021-22,5113
ENVATO PTY LTD,11119159741,252726581,14346982.0,355263.0,2021-22,3000
EPIROC SOUTH PACIFIC HOLDINGS PTY LTD,87107374550,757329616,75678852.0,22703656.0,2021-22,6105
EPSON AUSTRALIA PTY LTD,91002625783,223441895,7324736.0,2197421.0,2021-22,2113
EQT HOLDINGS LIMITED,22607797615,109758168,48036127.0,14410838.0,2021-22,3000
EQUIFAX AUSTRALIA HOLDINGS PTY LTD,37609497494,423116393,,,2021-22,2060
EQUINIX AUSTRALIA PTY LTD,25092807264,399263077,5929.0,1779.0,2021-22,2020
ESR REAL ESTATE (AUSTRALIA) PTY LTD,64625761962,220244050,,,2021-22,2000
ESRI-AUSTRALIA PTY LTD,16008852775,119012888,25116681.0,7450292.0,2021-22,4000
ESTEE LAUDER PTY LIMITED,63008444719,274105926,56604651.0,16981395.0,2021-22,2000
ESTIA HEALTH LIMITED,37160986201,680033000,,,2021-22,3124
ETEX HOLDING AUSTRALIA PTY LTD,54645836531,238141679,23939368.0,5462644.0,2021-22,5031
ETG COMMODITIES PTY LTD,71643241329,327545612,,,2021-22,4350
ETHOS BEATHCHAPMAN AUSTRALIA PTY LTD,15628088451,167271279,5557931.0,1667379.0,2021-22,2000
ETORO AUS CAPITAL PTY LTD,66612791803,151047462,3275942.0,982783.0,2021-22,2000
ETSA UTILITIES FINANCE PTY LTD,78091701825,127271715,,,2021-22,5035
EUROFINS AUSTRALIA NEW ZEALAND HOLDING PTY LTD,99612485819,114224196,4720307.0,1416092.0,2021-22,3175
EUROPCAR HOLDING PTY LTD,72130750640,190894085,13604370.0,4081311.0,2021-22,3043
EUROZ HARTLEYS GROUP LTD,53000364465,150315947,62207533.0,17959585.0,2021-22,6000
EVAND PTY LTD,59072254007,443545746,33658031.0,10086882.0,2021-22,2164
EVANS PETROLEUM GIPPSLAND PTY LTD,44007455192,258644394,6036340.0,1509085.0,2021-22,3953
EVERGREEN GARDEN CARE AUSTRALIA HOLDINGS PTY LTD,18620606840,139986096,8685692.0,2605708.0,2021-22,2153
EVOLUTION MINING LIMITED,74084669036,1966858364,198186878.0,55285864.0,2021-22,2000
EVT LIMITED,51000005103,445382921,82243798.0,24370918.0,2021-22,2000
EW PACIFIC PTY LTD,64160098162,476399695,26931603.0,8079481.0,2021-22,3000
EXCHANGE FOR CHANGE (NSW) PTY LIMITED,12620512469,416531005,907622.0,272287.0,2021-22,2138
EXCLUSIVE NETWORKS PTY LTD,26102858542,142805748,3456207.0,1036862.0,2021-22,2086
EXPEDIA AUSTRALIA PTY LTD,12101694946,157293098,7587659.0,2273948.0,2021-22,2000
EXPEDITORS INTERNATIONAL PTY LIMITED,79003337282,181765321,20605336.0,6181601.0,2021-22,2019
EXPORT TRADING GROUP AUSTRALIA PTY LTD,92168116041,130127969,2420107.0,726032.0,2021-22,4509
EXXONMOBIL AUSTRALIA PTY LTD,48091561198,15494308493,1714286.0,,2021-22,3008
F K GARDNER & SONS PTY LTD,99010136053,309739747,4437357.0,1331207.0,2021-22,4350
FACEBOOK AUSTRALIA PTY LIMITED,83134012543,1147348081,100584537.0,30175361.0,2021-22,2000
FACTORY MUTUAL INSURANCE COMPANY,47163108861,429900314,44566586.0,12897683.0,2021-22,3000
FAIRBROTHER PTY LTD,51009510561,298676430,1359800.0,21808.0,2021-22,7310
FAR EAST CONSORTIUM HOLDINGS (AUSTRALIA) PTY LTD,80062878880,319375878,,,2021-22,3004
FASHION BIZ (AUST) PTY LTD,63070328282,114173682,10872628.0,3261788.0,2021-22,3025
FAYMAN INTERNATIONAL GROUP PTY LTD,72640390576,233443896,9023796.0,2707139.0,2021-22,3072
FCA AUSTRALIA PTY LIMITED,23125956505,615481173,33258442.0,9977533.0,2021-22,3207
FDC CONSOLIDATED PTY LTD,84644030759,1168747883,34563328.0,10368998.0,2021-22,2037
FEDERAL EXPRESS (AUSTRALIA) PTY LTD,51624271487,2352451367,49465993.0,14826471.0,2021-22,2020
FENIX RESOURCES LIMITED,68125323622,255296778,60986502.0,18295951.0,2021-22,6000
FENNER (PACIFIC) PTY LIMITED,49000231532,414259098,37026585.0,10082293.0,2021-22,3012
FERRARI AUSTRALASIA PTY LIMITED,90160706141,114942858,2572174.0,771652.0,2021-22,2000
FERRERO AUSTRALIA PTY LIMITED,29001249261,304389212,12976572.0,3313243.0,2021-22,2060
FIELDCORE SERVICE SOLUTIONS INTERNATIONAL LLC,59487620706,112226641,,,2021-22,3000
FIGTREE TOPCO PTY LTD,50644253378,130659591,5411600.0,1623480.0,2021-22,2000
FIL INVESTMENT MANAGEMENT (AUSTRALIA) LIMITED,34006773575,153061913,46666501.0,13999950.0,2021-22,2000
FINASUCRE INVESTMENTS (AUSTRALIA) PTY LIMITED,23062315593,292861525,,,2021-22,4670
FINDEX GROUP LIMITED,40128588714,399748794,2876579.0,,2021-22,3000
FINISAR AUSTRALIA PTY LTD,45098184582,204982563,34858412.0,,2021-22,2018
FIP GROUP HOLDINGS PTY LTD,66611302553,244237561,8355656.0,2506697.0,2021-22,4006
FIRST DATA RESOURCES INVESTMENTS PTY LTD,63057257771,127451645,12779367.0,3833810.0,2021-22,2060
FIRST SENTIER INVESTORS HOLDINGS PTY LTD,49630725558,587348438,208917423.0,62447781.0,2021-22,2000
FIRSTMAC LIMITED,59094145963,281757911,95573972.0,28672192.0,2021-22,4000
FISHER & PAYKEL AUSTRALIA HOLDINGS LIMITED,19003659425,608644770,14299420.0,4244224.0,2021-22,4178
FITNESS AND LIFESTYLE GROUP TOPCO PTY LTD,50614113192,430353124,,,2021-22,4101
FITZROY AUSTRALIA RESOURCES PTY LTD,14615772391,790396523,194377469.0,58313241.0,2021-22,4000
FLEETWOOD CORPORATION LIMITED,69009205261,439501604,233666.0,70100.0,2021-22,6008
FLETCHER BUILDING (AUSTRALIA) PTY LTD,11093539452,2744932783,11429256.0,,2021-22,2060
FLETCHER INTERNATIONAL GROUP PTY LTD,75626211907,1121854702,169724108.0,50917041.0,2021-22,2830
FLIGHT CENTRE TRAVEL GROUP LIMITED,25003377188,495634399,,,2021-22,4101
